,code,clientType,registrationMode,planName,accident,duration,country,netSales,netProfit,gender,age
88,EPX,Basic,Online,K,0,41,JAPAN,20,0,,40
89,EPX,Basic,Online,K,0,6,MALAYSIA,10,0,,29
90,EPX,Basic,Online,K,0,8,INDONESIA,17,0,,43
91,EPX,Basic,Online,K,0,5,INDONESIA,37,0,,21
92,EPX,Basic,Online,K,0,126,CHINA,27,0,,36
93,EPX,Basic,Online,K,0,10,MYANMAR,51,0,,36
94,EPX,Basic,Online,K,0,29,PHILIPPINES,13,0,,21
95,EPX,Basic,Online,A,0,50,AUSTRALIA,24,0,,36
96,EPX,Basic,Online,A,0,1,VIET NAM,20,0,,36
97,EPX,Basic,Online,A,0,2,CHINA,26,0,,36
98,EPX,Basic,Online,A,0,1,SINGAPORE,86,0,,36
99,EPX,Basic,Online,A,0,8,NEW ZEALAND,28,0,,36
100,EPX,Basic,Online,A,0,19,MALAYSIA,20,0,,62
101,EPX,Basic,Online,A,0,24,"KOREA, REPUBLIC OF",90,0,,36
102,RAB,Premium,Online,Z,0,4,BRUNEI DARUSSALAM,15,6,M,44
103,SSI,Premium,Online,W,0,55,SINGAPORE,21.35,5.98,,48
104,SSI,Premium,Online,W,0,15,SINGAPORE,6.5,1.82,,48
105,JZI,Premium,Online,I,0,45,AUSTRALIA,26,9.1,M,31
106,JZI,Premium,Online,I,0,181,INDONESIA,30,10.5,F,48
107,JZI,Premium,Online,I,0,5,INDONESIA,22,7.7,F,29
108,JZI,Premium,Online,I,0,22,THAILAND,18,6.3,M,66
109,JZI,Premium,Online,I,0,76,AUSTRALIA,35,12.25,M,57
110,JZI,Premium,Online,I,0,41,CHINA,44,15.4,F,37
111,JZI,Premium,Online,I,0,43,THAILAND,22,7.7,F,34
112,JZI,Premium,Online,I,0,5,CHINA,22,7.7,M,41
113,ART,Premium,Online,C,0,56,PHILIPPINES,75.96,26.59,F,48
114,ART,Premium,Online,C,0,3,SINGAPORE,12.5,4.38,M,48
115,ART,Premium,Online,C,0,3,MALAYSIA,4.99,1.75,M,48
116,C2B,Premium,Online,J,0,20,SINGAPORE,47,11.75,M,30
117,C2B,Premium,Online,J,0,29,SINGAPORE,27,6.75,M,30
118,C2B,Premium,Online,J,0,164,SINGAPORE,69.55,17.39,M,26
119,C2B,Premium,Online,J,0,23,SINGAPORE,30.55,7.64,F,35
120,C2B,Premium,Online,R,0,13,SINGAPORE,19.5,4.88,M,34
121,C2B,Premium,Online,R,0,29,SINGAPORE,31.85,7.96,M,45
122,C2B,Premium,Online,N,0,23,SINGAPORE,77.35,19.34,F,52
123,CWT,Basic,Online,Q,0,23,MALAYSIA,29.7,17.82,,31
124,CWT,Basic,Online,Q,0,29,AUSTRALIA,39.6,23.76,,52
125,CWT,Basic,Online,Q,0,5,MALAYSIA,0,29.7,,53
126,CWT,Basic,Online,Q,0,26,UNITED STATES,148.5,89.1,,40
127,CWT,Basic,Online,Q,0,26,THAILAND,29.7,17.82,,31
128,CWT,Basic,Online,Q,0,152,UNITED STATES,9.9,5.94,,31
129,CWT,Basic,Online,Q,0,48,AUSTRALIA,59.4,35.64,,26
130,CWT,Basic,Online,Q,0,30,MALAYSIA,59.4,35.64,,27
131,CWT,Basic,Online,Q,0,9,THAILAND,49.5,29.7,,50
132,CWT,Basic,Online,Q,0,32,MALAYSIA,49.5,29.7,,31
133,CWT,Basic,Online,Q,0,4,MALAYSIA,19.8,11.88,,29
134,CWT,Basic,Online,Q,0,111,AUSTRALIA,89.1,53.46,,31
135,CWT,Basic,Online,Q,0,34,AUSTRALIA,19.8,11.88,,34
136,CWT,Basic,Online,Q,0,19,MALAYSIA,39.6,23.76,,35
137,CWT,Basic,Online,Q,0,20,AUSTRALIA,148.5,89.1,,34
138,CWT,Basic,Online,Q,0,201,AUSTRALIA,0,77.22,,23
139,CWT,Basic,Online,Q,0,2,SINGAPORE,9.9,5.94,,44
140,EPX,Basic,Online,B,0,4,VIET NAM,20,0,,36
141,EPX,Basic,Online,B,0,13,THAILAND,20,0,,36
142,EPX,Basic,Online,B,0,39,POLAND,69,0,,36
143,EPX,Basic,Online,B,0,10,HONG KONG,20,0,,36
144,EPX,Basic,Online,B,0,62,"TAIWAN, PROVINCE OF CHINA",22,0,,36
145,EPX,Basic,Online,B,0,4,MALAYSIA,20,0,,53
146,EPX,Basic,Online,B,0,90,"KOREA, REPUBLIC OF",42,0,,36
147,EPX,Basic,Online,B,0,10,PHILIPPINES,56,0,,36
148,EPX,Basic,Online,B,0,13,MALAYSIA,20,0,,43
149,EPX,Basic,Online,B,0,19,THAILAND,20,0,,36
150,EPX,Basic,Online,B,0,3,SINGAPORE,20,0,,39
151,EPX,Basic,Online,B,0,18,THAILAND,20,0,,45
152,EPX,Basic,Online,B,0,18,VIET NAM,20,0,,36
153,EPX,Basic,Online,B,0,22,CHINA,69,0,,36
154,EPX,Basic,Online,B,0,6,CHINA,36,0,,36
155,EPX,Basic,Online,B,0,11,MALAYSIA,20,0,,48
156,EPX,Basic,Online,B,0,18,JAPAN,112,0,,36
157,EPX,Basic,Online,B,0,12,CHINA,27,0,,36
158,EPX,Basic,Online,B,0,81,"KOREA, REPUBLIC OF",32,0,,24
159,EPX,Basic,Online,B,0,36,SINGAPORE,67,0,,36
160,EPX,Basic,Online,B,0,28,SINGAPORE,20,0,,36
161,EPX,Basic,Online,B,0,57,"KOREA, REPUBLIC OF",53,0,,57
162,EPX,Basic,Online,B,0,42,MALAYSIA,20,0,,36
163,EPX,Basic,Online,B,0,91,JAPAN,44,0,,29
164,EPX,Basic,Online,B,0,7,HONG KONG,20,0,,61
165,EPX,Basic,Online,B,0,12,MALAYSIA,20,0,,27
166,EPX,Basic,Online,B,0,49,MALAYSIA,20,0,,27
167,EPX,Basic,Online,B,0,13,INDONESIA,20,0,,36
168,EPX,Basic,Online,B,0,28,INDIA,50,0,,36
169,EPX,Basic,Online,B,0,124,JAPAN,89,0,,25
170,EPX,Basic,Online,K,0,7,MALAYSIA,16,0,,36
171,EPX,Basic,Online,K,0,22,HONG KONG,29,0,,36
172,EPX,Basic,Online,K,0,1,UNITED STATES,20,0,,47
173,EPX,Basic,Online,K,0,28,THAILAND,27,0,,36
174,EPX,Basic,Online,K,0,13,CHINA,33,0,,36
175,EPX,Basic,Online,K,0,118,MYANMAR,10,0,,35
176,EPX,Basic,Online,K,0,7,SINGAPORE,18,0,,36
177,EPX,Basic,Online,K,0,7,"KOREA, REPUBLIC OF",58,0,,36
178,EPX,Basic,Online,K,0,52,SPAIN,46,0,,36
179,EPX,Basic,Online,K,0,59,MYANMAR,16,0,,21
180,EPX,Basic,Online,K,0,38,HONG KONG,12,0,,36
181,EPX,Basic,Online,K,0,18,THAILAND,29,0,,36
182,EPX,Basic,Online,K,0,73,UNITED STATES,69,0,,59
183,EPX,Basic,Online,K,0,21,INDONESIA,15,0,,31
184,EPX,Basic,Online,K,0,25,MALAYSIA,20,0,,36
185,EPX,Basic,Online,K,0,19,"KOREA, REPUBLIC OF",19,0,,36
186,EPX,Basic,Online,K,0,20,MALAYSIA,13,0,,36
187,EPX,Basic,Online,K,0,33,UNITED KINGDOM,74,0,,36
188,EPX,Basic,Online,K,0,24,THAILAND,10,0,,36
189,EPX,Basic,Online,K,0,1,UNITED STATES,17,0,,28
190,EPX,Basic,Online,K,0,12,MALAYSIA,13,0,,36
191,EPX,Basic,Online,K,0,5,MALAYSIA,10,0,,36
192,EPX,Basic,Online,K,0,25,CZECH REPUBLIC,80,0,,36
193,EPX,Basic,Online,K,0,12,HONG KONG,80,0,,36
194,EPX,Basic,Online,K,0,12,THAILAND,34,0,,36
195,EPX,Basic,Online,K,0,94,AUSTRALIA,80,0,,36
196,EPX,Basic,Online,K,0,13,MYANMAR,10,0,,36
197,EPX,Basic,Online,K,0,46,AUSTRALIA,80,0,,36
198,EPX,Basic,Online,K,0,29,"KOREA, REPUBLIC OF",22,0,,30
199,EPX,Basic,Online,K,0,57,SINGAPORE,11,0,,40
200,EPX,Basic,Online,K,0,82,GERMANY,80,0,,36
201,EPX,Basic,Online,K,0,13,SRI LANKA,10,0,,36
202,EPX,Basic,Online,K,0,12,CAMBODIA,14,0,,36
203,EPX,Basic,Online,K,0,9,THAILAND,13,0,,36
204,EPX,Basic,Online,A,0,55,AUSTRALIA,26,0,,36
205,EPX,Basic,Online,A,0,2,MALAYSIA,20,0,,36
206,EPX,Basic,Online,A,0,26,MALAYSIA,20,0,,24
207,EPX,Basic,Online,A,0,4,CHINA,20,0,,36
208,EPX,Basic,Online,A,0,25,CHINA,46,0,,36
209,EPX,Basic,Online,A,0,49,SINGAPORE,20,0,,29
210,JWT,Premium,Online,Z,0,4,INDIA,62,24.8,F,118
211,RAB,Premium,Online,Z,0,14,BRUNEI DARUSSALAM,15,6,,39
212,SSI,Premium,Online,W,0,54,SINGAPORE,1.98,0.56,,48
213,SSI,Premium,Online,W,0,40,SINGAPORE,3.89,1.09,,48
214,SSI,Premium,Online,W,0,11,SINGAPORE,7.21,2.02,,48
215,JZI,Premium,Online,I,0,5,HONG KONG,22,7.7,M,67
216,JZI,Premium,Online,I,0,5,INDONESIA,22,7.7,M,53
217,JZI,Premium,Online,I,0,6,THAILAND,22,7.7,F,60
218,JZI,Premium,Online,I,0,2,VIET NAM,18,6.3,F,57
219,JZI,Premium,Online,I,0,15,CAMBODIA,30,10.5,M,57
220,JZI,Premium,Online,I,0,90,MALAYSIA,22,7.7,F,57
221,JZI,Premium,Online,I,0,21,VIET NAM,22,7.7,M,40
222,JZI,Premium,Online,I,0,130,INDONESIA,33,11.55,F,38
223,JZI,Premium,Online,I,0,34,CHINA,22,7.7,F,46
224,JZI,Premium,Online,Z,0,49,AUSTRIA,67,23.45,F,49
225,JZI,Premium,Online,Z,0,33,AUSTRALIA,92,32.2,M,72
226,C2B,Premium,Online,J,0,19,SINGAPORE,17.55,4.39,M,31
227,C2B,Premium,Online,J,0,4,SINGAPORE,17.55,4.39,M,35
228,C2B,Premium,Online,J,0,9,SINGAPORE,17.55,4.39,F,26
229,C2B,Premium,Online,J,0,28,SINGAPORE,17.55,4.39,M,33
230,C2B,Premium,Online,J,0,18,SINGAPORE,0,7.47,M,45
231,C2B,Premium,Online,J,0,18,SINGAPORE,38.35,9.59,F,34
232,C2B,Premium,Online,J,0,55,SINGAPORE,94,23.5,M,30
233,C2B,Premium,Online,J,0,32,SINGAPORE,44.85,11.21,F,27
234,C2B,Premium,Online,R,0,13,SINGAPORE,62.25,15.56,M,27
235,C2B,Premium,Online,R,0,13,SINGAPORE,81.75,20.44,M,30
236,C2B,Premium,Online,R,1,10,SINGAPORE,43.55,10.89,M,45
237,C2B,Premium,Online,R,0,10,SINGAPORE,43.55,10.89,F,46
238,C2B,Premium,Online,R,0,34,SINGAPORE,109,27.25,F,27
239,C2B,Premium,Online,E,0,388,SINGAPORE,252.85,63.21,F,29
240,C2B,Premium,Online,E,0,388,SINGAPORE,260.63,65.16,F,30
241,C2B,Premium,Online,E,0,368,SINGAPORE,252.85,63.21,M,30
242,CWT,Basic,Online,Q,0,114,UNITED KINGDOM,69.3,41.58,,51
243,CWT,Basic,Online,Q,0,20,ITALY,39.6,23.76,,51
244,CWT,Basic,Online,Q,0,40,SOUTH AFRICA,128.7,77.22,,55
245,CWT,Basic,Online,Q,0,3,MALAYSIA,29.7,17.82,,28
246,CWT,Basic,Online,Q,0,85,NEW ZEALAND,108.9,65.34,,35
247,CWT,Basic,Online,Q,0,5,MALAYSIA,0,29.7,,54
248,CWT,Basic,Online,Q,0,17,UNITED STATES,118.8,71.28,,32
249,CWT,Basic,Online,Q,0,6,UNITED STATES,29.7,17.82,,31
250,CWT,Basic,Online,Q,0,133,NORWAY,0,65.34,,31
251,CWT,Basic,Online,Q,0,5,UNITED KINGDOM,39.6,23.76,,31
252,CWT,Basic,Online,Q,0,5,THAILAND,29.7,17.82,,44
253,CWT,Basic,Online,Q,0,5,AUSTRALIA,29.7,17.82,,29
254,CWT,Basic,Online,Q,0,45,THAILAND,19.8,11.88,,33
255,CWT,Basic,Online,Q,0,8,SOUTH AFRICA,49.5,29.7,,31
256,CWT,Basic,Online,Q,0,103,UNITED STATES,158.4,95.04,,29
257,CWT,Basic,Online,Q,0,12,JAPAN,29.7,17.82,,31
258,EPX,Basic,Online,B,0,147,UNITED KINGDOM,64,0,,36
259,EPX,Basic,Online,B,0,32,"TANZANIA, UNITED REPUBLIC OF",112,0,,36
260,EPX,Basic,Online,B,0,26,MALAYSIA,20,0,,36
261,EPX,Basic,Online,B,0,37,UNITED STATES,112,0,,31
262,EPX,Basic,Online,B,0,32,UNITED STATES,50,0,,25
263,EPX,Basic,Online,B,0,7,HONG KONG,23,0,,28
264,EPX,Basic,Online,B,0,39,SINGAPORE,38,0,,36
265,EPX,Basic,Online,B,0,27,INDONESIA,20,0,,36
266,EPX,Basic,Online,B,0,22,INDONESIA,20,0,,36
267,EPX,Basic,Online,B,0,306,JAPAN,31,0,,36
268,EPX,Basic,Online,B,0,11,AUSTRALIA,74,0,,36
269,EPX,Basic,Online,B,0,12,LAO PEOPLE'S DEMOCRATIC REPUBLIC,37,0,,36
270,EPX,Basic,Online,B,0,21,CHINA,52,0,,36
271,EPX,Basic,Online,B,0,56,ITALY,69,0,,36
272,EPX,Basic,Online,B,0,56,ITALY,69,0,,36
273,EPX,Basic,Online,B,0,20,THAILAND,20,0,,36
274,EPX,Basic,Online,B,0,41,VIET NAM,26,0,,36
275,EPX,Basic,Online,B,0,15,PHILIPPINES,30,0,,36
276,EPX,Basic,Online,B,0,20,INDIA,46,0,,36
277,EPX,Basic,Online,B,0,9,THAILAND,20,0,,36
278,EPX,Basic,Online,B,0,14,THAILAND,20,0,,40
279,EPX,Basic,Online,B,0,35,SINGAPORE,56,0,,36
280,EPX,Basic,Online,B,0,2,MALAYSIA,29,0,,36
281,EPX,Basic,Online,B,0,8,MALAYSIA,20,0,,35
282,EPX,Basic,Online,B,0,9,SINGAPORE,0,0,,36
283,EPX,Basic,Online,B,0,8,MALAYSIA,32,0,,36
284,EPX,Basic,Online,B,0,10,VIET NAM,23,0,,36
285,EPX,Basic,Online,B,0,24,VIET NAM,71,0,,36
286,EPX,Basic,Online,B,0,4,SINGAPORE,20,0,,36
287,EPX,Basic,Online,B,0,3,MALAYSIA,20,0,,36
288,EPX,Basic,Online,B,0,4,CHINA,37,0,,36
289,EPX,Basic,Online,B,0,3,MALAYSIA,20,0,,25
290,EPX,Basic,Online,B,0,17,THAILAND,26,0,,69
291,EPX,Basic,Online,B,0,75,AUSTRALIA,31,0,,36
292,EPX,Basic,Online,B,0,9,SINGAPORE,30,0,,36
293,EPX,Basic,Online,B,0,47,MALAYSIA,37,0,,31
294,EPX,Basic,Online,B,0,28,SRI LANKA,39,0,,36
295,EPX,Basic,Online,B,0,83,PHILIPPINES,20,0,,39
296,EPX,Basic,Online,B,0,56,AUSTRALIA,27,0,,36
297,EPX,Basic,Online,K,0,1,UNITED STATES,24,0,,60
298,EPX,Basic,Online,K,1,73,THAILAND,16,0,,36
299,EPX,Basic,Online,K,0,12,MALAYSIA,10,0,,36
300,EPX,Basic,Online,K,0,15,SINGAPORE,19,0,,36
301,EPX,Basic,Online,K,0,12,VIET NAM,37,0,,36
302,EPX,Basic,Online,K,0,27,SINGAPORE,70,0,,26
303,EPX,Basic,Online,K,0,27,MALAYSIA,10,0,,49
304,EPX,Basic,Online,K,0,41,"KOREA, REPUBLIC OF",10,0,,22
305,EPX,Basic,Online,K,0,41,"KOREA, REPUBLIC OF",10,0,,23
306,EPX,Basic,Online,K,0,35,MYANMAR,13,0,,39
307,EPX,Basic,Online,K,0,8,UNITED STATES,42,0,,55
308,EPX,Basic,Online,K,0,34,CHINA,33,0,,36
309,EPX,Basic,Online,K,0,27,CAMBODIA,17,0,,36
310,EPX,Basic,Online,K,0,54,"KOREA, REPUBLIC OF",39,0,,36
311,EPX,Basic,Online,K,0,11,HONG KONG,18,0,,36
312,EPX,Basic,Online,K,0,5,HONG KONG,29,0,,36
313,EPX,Basic,Online,K,0,40,HONG KONG,24,0,,28
314,EPX,Basic,Online,K,0,29,"TAIWAN, PROVINCE OF CHINA",43,0,,36
315,EPX,Basic,Online,K,0,7,SINGAPORE,10,0,,36
316,EPX,Basic,Online,K,0,28,THAILAND,30,0,,36
317,EPX,Basic,Online,K,0,57,SRI LANKA,10,0,,32
318,EPX,Basic,Online,K,0,38,UNITED STATES,18,0,,38
319,EPX,Basic,Online,K,0,53,NEW ZEALAND,59,0,,36
320,EPX,Basic,Online,K,0,40,SINGAPORE,16,0,,45
321,EPX,Basic,Online,K,0,18,MYANMAR,19,0,,36
322,EPX,Basic,Online,K,0,32,CHINA,33,0,,36
323,EPX,Basic,Online,K,0,13,HONG KONG,21,0,,53
324,EPX,Basic,Online,K,0,15,CHINA,32,0,,36
325,EPX,Basic,Online,K,0,11,CHINA,24,0,,36
326,EPX,Basic,Online,K,0,13,CHINA,16,0,,36
327,EPX,Basic,Online,K,0,36,UNITED STATES,11,0,,21
328,EPX,Basic,Online,K,0,26,MALAYSIA,22,0,,54
329,EPX,Basic,Online,K,0,27,INDIA,0,0,,36
330,EPX,Basic,Online,K,0,49,AUSTRALIA,18,0,,36
331,EPX,Basic,Online,K,0,33,INDONESIA,10,0,,36
332,EPX,Basic,Online,K,0,27,INDONESIA,10,0,,28
333,EPX,Basic,Online,K,0,81,NEPAL,45,0,,36
334,EPX,Basic,Online,K,0,27,HONG KONG,30,0,,20
335,EPX,Basic,Online,K,0,25,AUSTRALIA,45,0,,36
336,EPX,Basic,Online,K,0,82,PHILIPPINES,14,0,,36
337,EPX,Basic,Online,K,0,70,"TAIWAN, PROVINCE OF CHINA",21,0,,36
338,EPX,Basic,Online,K,0,19,MALAYSIA,10,0,,36
339,EPX,Basic,Online,K,0,19,MALAYSIA,10,0,,36
340,EPX,Basic,Online,A,0,14,CHINA,20,0,,36
341,EPX,Basic,Online,A,0,6,MYANMAR,20,0,,57
342,EPX,Basic,Online,A,0,9,MYANMAR,20,0,,36
343,EPX,Basic,Online,A,0,52,AUSTRALIA,28,0,,36
344,EPX,Basic,Online,A,0,17,JAPAN,39,0,,36
345,EPX,Basic,Online,A,0,5,SINGAPORE,51,0,,36
346,EPX,Basic,Online,A,0,49,PHILIPPINES,20,0,,36
347,EPX,Basic,Online,A,0,5,VIET NAM,20,0,,29
348,EPX,Basic,Online,A,0,17,MALAYSIA,37,0,,36
349,JWT,Premium,Online,Z,0,16,INDIA,50,20,M,118
350,RAB,Premium,Online,Z,0,75,BRUNEI DARUSSALAM,31,12.4,,78
351,RAB,Premium,Online,Z,0,3,BRUNEI DARUSSALAM,15,6,,48
352,SSI,Premium,Online,W,0,39,SINGAPORE,1.48,0.41,,48
353,SSI,Premium,Online,W,0,53,SINGAPORE,73.67,20.65,,48
354,SSI,Premium,Online,W,0,40,SINGAPORE,7.21,2.02,,48
355,SSI,Premium,Online,W,0,13,SINGAPORE,5.09,1.43,,48
356,JZI,Premium,Online,I,0,4,MYANMAR,18,6.3,F,29
357,JZI,Premium,Online,I,0,54,HONG KONG,26,9.1,M,40
358,JZI,Premium,Online,I,0,3,MALAYSIA,18,6.3,M,33
359,JZI,Premium,Online,I,0,5,MALAYSIA,18,6.3,M,40
360,JZI,Premium,Online,I,0,104,JAPAN,35,12.25,M,38
361,JZI,Premium,Online,I,0,10,THAILAND,22,7.7,M,42
362,JZI,Premium,Online,I,0,24,INDIA,35,12.25,M,53
363,JZI,Premium,Online,I,0,10,THAILAND,22,7.7,F,45
364,JZI,Premium,Online,I,0,48,INDIA,50,17.5,M,53
365,JZI,Premium,Online,I,0,6,THAILAND,18,6.3,M,49
366,JZI,Premium,Online,I,0,7,"TAIWAN, PROVINCE OF CHINA",26,9.1,M,47
367,JZI,Premium,Online,I,0,20,SRI LANKA,26,9.1,M,45
368,JZI,Premium,Online,I,0,6,CHINA,26,9.1,F,47
369,JZI,Premium,Online,I,0,15,THAILAND,22,7.7,M,49
370,JZI,Premium,Online,I,0,4,THAILAND,18,6.3,M,55
371,JZI,Premium,Online,I,0,48,JAPAN,26,9.1,F,32
372,JZI,Premium,Online,I,0,14,THAILAND,22,7.7,F,70
373,JZI,Premium,Online,I,0,14,MYANMAR,33,11.55,M,34
374,JZI,Premium,Online,I,0,42,CHINA,63,22.05,M,48
375,JZI,Premium,Online,I,0,13,THAILAND,22,7.7,M,68
376,JZI,Premium,Online,Z,0,131,UNITED KINGDOM,125,43.75,F,31
377,JZI,Premium,Online,Z,0,36,UNITED KINGDOM,87,30.45,M,51
378,JZI,Premium,Online,Z,0,202,FRANCE,149,52.15,M,38
379,JZI,Premium,Online,Z,0,42,CHINA,92,32.2,F,53
380,JZI,Premium,Online,Z,0,11,GERMANY,87,30.45,M,49
381,JZI,Premium,Online,Z,0,10,CHINA,45,15.75,M,50
382,CSR,Basic,Offline,M,0,92,MALAYSIA,29,9.57,F,72
383,CSR,Basic,Offline,M,0,92,MALAYSIA,29,9.57,F,77
384,CCR,Basic,Offline,M,0,5,MALAYSIA,29,9.57,M,118
385,CCR,Basic,Offline,M,0,5,MALAYSIA,29,9.57,F,118
386,CCR,Basic,Offline,M,0,5,MALAYSIA,29,9.57,M,118
387,CBH,Basic,Offline,M,0,36,THAILAND,29,9.57,M,63
388,ART,Premium,Online,C,0,2,PHILIPPINES,7.44,2.6,M,48
